filename,tsne_dim1,tsne_dim2
DB0-m2_o1_o11_f0_nbo.sym.161_repeat,72.33269,4.1197524
DB0-m2_o1_o11_f0_nbo.sym.162_repeat,66.2784,12.7691345
DB0-m2_o1_o11_f0_nbo.sym.163_repeat,64.47202,12.454774
DB0-m2_o1_o11_f0_nbo.sym.164_repeat,77.210266,-0.48874044
DB0-m2_o1_o11_f0_nbo.sym.165_repeat,64.35428,12.516276
DB0-m2_o1_o11_f0_nbo.sym.166_repeat,62.43727,-1.6842748
DB0-m2_o1_o11_f0_nbo.sym.167_repeat,62.86866,-1.7122111
DB0-m2_o1_o11_f0_nbo.sym.168_repeat,69.544945,-10.891014
DB0-m2_o1_o11_f0_nbo.sym.169_repeat,66.48215,-10.563504
DB0-m2_o1_o11_f0_nbo.sym.171_repeat,59.661255,4.342214
DB0-m2_o1_o11_f0_nbo.sym.172_repeat,58.35078,4.466832
DB0-m2_o1_o11_f0_nbo.sym.173_repeat,72.42587,-8.34708
DB0-m2_o1_o11_f0_nbo.sym.174_repeat,72.581566,-7.8559437
DB0-m2_o1_o11_f0_nbo.sym.175_repeat,72.370476,-7.583551
DB0-m2_o1_o11_f0_nbo.sym.18_repeat,62.479324,1.6716634
DB0-m2_o1_o11_f0_nbo.sym.19_repeat,69.90792,-11.190107
DB0-m2_o1_o11_f0_nbo.sym.2_repeat,69.49766,-10.016533
DB0-m2_o1_o11_f0_nbo.sym.20_repeat,72.57852,-11.915474
DB0-m2_o1_o11_f0_nbo.sym.21_repeat,72.8853,-11.88856
DB0-m2_o1_o11_f0_nbo.sym.22_repeat,69.358284,-9.699983
DB0-m2_o1_o11_f0_nbo.sym.23_repeat,72.764046,23.974354
DB0-m2_o1_o11_f0_nbo.sym.24_repeat,73.36046,23.269505
DB0-m2_o1_o11_f0_nbo.sym.25_repeat,70.32877,25.728642
DB0-m2_o1_o11_f0_nbo.sym.26_repeat,74.134094,2.8377182
DB0-m2_o1_o11_f0_nbo.sym.27_repeat,78.929016,-1.1167383
DB0-m2_o1_o11_f0_nbo.sym.28_repeat,70.856766,-9.506869
DB0-m2_o1_o11_f0_nbo.sym.29_repeat,69.70835,-10.290262
DB0-m2_o1_o11_f0_nbo.sym.3_repeat,69.45086,-10.587362
DB0-m2_o1_o11_f0_nbo.sym.30_repeat,73.3386,-14.993523
DB0-m2_o1_o11_f0_nbo.sym.32_repeat,73.22956,-12.696535
DB0-m2_o1_o11_f0_nbo.sym.33_repeat,72.78021,-12.399997
